LineId,Device,LogId,Date,Time,Level,Method,Content,EventId,EventTemplate,ParameterList
1,server.com,lassen268:,[2022-07-22,"10:11:18,978]",[INFO],[launch.py:110:main],0 NCCL_DEBUG=warn,572b5463,<*> NCCL_DEBUG=<*>,"['0', 'warn']"
2,server.com,lassen268:,[2022-07-22,"10:11:18,978]",[INFO],[launch.py:117:main],"WORLD INFO DICT: {'lassen268': [0, 1, 2, 3], 'lassen412': [0, 1, 2, 3]}",15128b0a,"WORLD INFO DICT: {'lassen268': [<*>, <*>, <*>, <*>], 'lassen412': [<*>, <*>, <*>, <*>]}","['0', '1', '2', '3', '0', '1', '2', '3']"
3,server.com,lassen268:,[2022-07-22,"10:11:18,978]",[INFO],[launch.py:123:main],"nnodes=2, num_local_procs=4, node_rank=0",44eccd97,"nnodes=<*>, num_local_procs=<*>, node_rank=<*>","['2', '4', '0']"
4,server.com,lassen268:,[2022-07-22,"10:11:18,978]",[INFO],[launch.py:136:main],"global_rank_mapping=defaultdict(<class 'list'>, {'lassen268': [0, 1, 2, 3], 'lassen412': [4, 5, 6, 7]})",050829a3,"global_rank_mapping=<*>(<class 'list'>, {'lassen268': [<*>, <*>, <*>, <*>], 'lassen412': [<*>, <*>, <*>, <*>]})","['defaultdict', '0', '1', '2', '3', '4', '5', '6', '7']"
5,server.com,lassen268:,[2022-07-22,"10:11:18,978]",[INFO],[launch.py:137:main],dist_world_size=8,96704e02,dist_world_size=<*>,['8']
6,server.com,lassen268:,[2022-07-22,"10:11:18,978]",[INFO],[launch.py:139:main],"Setting CUDA_VISIBLE_DEVICES=0,1,2,3",8020953a,"Setting CUDA_VISIBLE_DEVICES=<*>,<*>,<*>,<*>","['0', '1,2,3']"
7,server.com,lassen412:,[2022-07-22,"10:11:19,494]",[INFO],[launch.py:110:main],1 NCCL_DEBUG=warn,572b5463,<*> NCCL_DEBUG=<*>,"['1', 'warn']"
8,server.com,lassen412:,[2022-07-22,"10:11:19,494]",[INFO],[launch.py:117:main],"WORLD INFO DICT: {'lassen268': [0, 1, 2, 3], 'lassen412': [0, 1, 2, 3]}",15128b0a,"WORLD INFO DICT: {'lassen268': [<*>, <*>, <*>, <*>], 'lassen412': [<*>, <*>, <*>, <*>]}","['0', '1', '2', '3', '0', '1', '2', '3']"
9,server.com,lassen412:,[2022-07-22,"10:11:19,494]",[INFO],[launch.py:123:main],"nnodes=2, num_local_procs=4, node_rank=1",44eccd97,"nnodes=<*>, num_local_procs=<*>, node_rank=<*>","['2', '4', '1']"
10,server.com,lassen412:,[2022-07-22,"10:11:19,494]",[INFO],[launch.py:136:main],"global_rank_mapping=defaultdict(<class 'list'>, {'lassen268': [0, 1, 2, 3], 'lassen412': [4, 5, 6, 7]})",050829a3,"global_rank_mapping=<*>(<class 'list'>, {'lassen268': [<*>, <*>, <*>, <*>], 'lassen412': [<*>, <*>, <*>, <*>]})","['defaultdict', '0', '1', '2', '3', '4', '5', '6', '7']"
11,server.com,lassen412:,[2022-07-22,"10:11:19,494]",[INFO],[launch.py:137:main],dist_world_size=8,96704e02,dist_world_size=<*>,['8']
12,server.com,lassen412:,[2022-07-22,"10:11:19,494]",[INFO],[launch.py:139:main],"Setting CUDA_VISIBLE_DEVICES=0,1,2,3",8020953a,"Setting CUDA_VISIBLE_DEVICES=<*>,<*>,<*>,<*>","['0', '1,2,3']"
13,server.com,lassen412:,[2022-07-22,"10:11:53,408]",[INFO],[elasticity.py:73:get_candidate_batch_sizes],"Candidate batch size: [120, 96]",5f4c49f5,"Candidate batch size: [<*>, <*>]","['120', '96']"
